GDP,Inflation rate,Unemployment rate,Exchange Rate(w RMB),TotalRevenue,OperatingRevenue,CostOfRevenue,GrossProfit,OperatingExpense,SellingGeneralAndAdministration,GeneralAndAdministrativeExpense,OtherGandA,SellingAndMarketingExpense,ResearchAndDevelopment,OtherOperatingExpenses,OperatingIncome,NetNonOperatingInterestIncomeExpense,InterestIncomeNonOperating,InterestExpenseNonOperating,OtherIncomeExpense,SpecialIncomeCharges,OtherSpecialCharges,OtherNonOperatingIncomeExpenses,PretaxIncome,TaxProvision,NetIncomeCommonStockholders,NetIncome,NetIncomeIncludingNoncontrollingInterests,NetIncomeContinuousOperations,AverageDilutionEarnings,DilutedNIAvailtoComStockholders,BasicEPS,DilutedEPS,BasicAverageShares,DilutedAverageShares,TotalOperatingIncomeAsReported,TotalExpenses,NetIncomeFromContinuingAndDiscontinuedOperation,NormalizedIncome,InterestIncome,InterestExpense,NetInterestIncome,EBIT,EBITDA,ReconciledCostOfRevenue,ReconciledDepreciation,NetIncomeFromContinuingOperationNetMinorityInterest,TotalUnusualItemsExcludingGoodwill,TotalUnusualItems,NormalizedEBITDA,TaxRateForCalcs,TaxEffectOfUnusualItems,open,high,low,close,adjclose,volume,ticker,MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio,EnterprisesValueRevenueRatio,EnterprisesValueEBITDARatio,date
16152.257,1.9,8.2,6.32860733,"889,163,000","889,163,000","643,428,000","245,735,000","229,581,000","148,034,000","29,810,000","29,810,000","118,224,000","81,547,000",,"16,154,000","-5,006,000",0,"5,006,000","-493,000","-493,000",,"-493,000","10,655,000","4,491,000","6,164,000","6,164,000","6,164,000","6,164,000",,"6,164,000",0.016,0.016,"388,682,000","411,663,000","16,154,000","873,009,000","6,164,000","6,164,000",0,"5,006,000","-5,006,000","15,661,000",,"643,428,000","403,348,000","6,164,000","-493,000","-493,000","419,009,000",0.35,0,,,,,,,,"3,801,987,989","3,397,461,989",23.059,26.385,,1.116,5.733,3.821,8.108,6/30/12
16019.758,2.833333333,8.266666667,6.30889433,"869,791,000","869,791,000","623,933,000","245,858,000","247,793,000","164,992,000","29,092,000","29,092,000","135,900,000","82,801,000",,"-1,935,000","-5,090,000",,"5,090,000","-116,000","-116,000",,,"-7,025,000","-2,441,000","-4,584,000","-4,584,000","-4,584,000","-4,584,000",,"-4,584,000",-0.011,-0.011,"388,192,000","388,192,000","-1,935,000","871,726,000","-4,584,000","-4,584,000",,"5,090,000","-5,090,000","-1,935,000",,"623,933,000","371,113,000","-4,584,000","-116,000","-116,000","369,178,000",0.347,0,,,,,,,,"6,375,359,425","5,979,867,425",27.005,52.356,2.297,1.952,9.851,6.875,16.198,3/31/12
15796.46,3.3,8.633333333,6.35749967,"875,575,000","875,575,000","575,155,000","300,420,000","238,548,000","157,765,000","43,477,000","43,477,000","114,288,000","80,783,000",,"61,872,000","-5,037,000","-95,000","4,942,000","-95,000","-95,000",,,"56,835,000","21,616,000","35,219,000","35,219,000","35,219,000","35,219,000",,"35,236,000",0.109,0.104,"375,074,000","388,073,000","61,872,000","813,703,000","35,219,000","35,219,000","-95,000","4,942,000","-5,037,000","61,777,000",,"575,155,000","-480,013,000","35,219,000","-95,000","-95,000","61,777,000",0.38,0,,,,,,,,"3,638,008,465","3,506,895,465",15.748,125,5.783,1.281,9.884,4.005,56.767,12/31/11
15591.85,3.766666667,9,6.41673233,"821,839,000","821,839,000","536,617,000","285,222,000","188,380,000","118,900,000","29,792,000","29,792,000","89,108,000","69,480,000",,"96,842,000","-3,219,000","1,696,000","4,915,000",,,,,"93,623,000","31,163,000","62,460,000","62,460,000","62,460,000","62,460,000",,"62,460,000",0.17,0.166,"367,983,000","377,090,000","96,842,000","724,997,000","62,460,000","62,460,000","1,696,000","4,915,000","-3,219,000","98,538,000",,"536,617,000","222,359,000","62,460,000",,,"320,897,000",0.333,0,15.60285664,16.5357132,15.3757143,16.18142891,16.18142891,76881700,NFLX,"5,947,138,387","5,816,025,387",25.743,17.212,0.521,2.093,15.314,7.077,18.124,9/30/11
15496.189,3.466666667,9.066666667,6.4995,"788,610,000","788,610,000","489,978,000","298,632,000","183,518,000","125,653,000","30,670,000","30,670,000","94,983,000","57,865,000",,"115,114,000","-4,290,000","1,013,000","5,303,000",,,,,"110,824,000","42,610,000","68,214,000","68,214,000","68,214,000","68,214,000",,"68,214,000",0.186,0.18,"367,290,000","377,363,000","115,114,000","673,496,000","68,214,000","68,214,000","1,013,000","5,303,000","-4,290,000","116,127,000",,"489,978,000","178,648,000","68,214,000",,,"294,775,000",0.384,0,37.81428528,37.8571434,37.25714111,37.52714157,37.52714157,17966900,NFLX,"13,800,746,461","13,659,524,461",66.673,40.161,1.204,5.347,41.315,17.321,46.339,6/30/11
15285.828,2.133333333,9.033333333,6.580304,"718,553,000","718,553,000","438,151,000","280,402,000","178,162,000","127,257,000","22,998,000","22,998,000","104,259,000","50,905,000",,"102,240,000","-4,000,000","865,000","4,865,000",,,,,"98,240,000","38,007,000","60,233,000","60,233,000","60,233,000","60,233,000",,"60,233,000",0.163,0.159,"369,313,000","379,722,000","102,240,000","616,313,000","60,233,000","60,233,000","865,000","4,865,000","-4,000,000","103,105,000",,"438,151,000","122,753,000","60,233,000",,,"225,858,000",0.387,0,33.89714432,34.24285889,33.57714462,33.96857071,33.96857071,24822700,NFLX,"12,488,005,627","12,380,989,627",68.328,36.9,1.237,5.395,45.292,17.23,54.818,3/31/11
15240.843,1.266666667,9.5,6.658365,"595,922,000","595,922,000","390,790,000","205,132,000","132,773,000","81,957,000","19,108,000","19,108,000","62,849,000","45,959,000",,"72,359,000","-3,894,000","938,000","4,832,000",,,,,"74,559,000","27,464,000","47,095,000","47,095,000","47,095,000","47,095,000",,"47,095,000",,,,,"78,453,000","523,563,000","47,095,000","47,095,000","938,000","4,832,000","-3,894,000","79,391,000",,"390,790,000","-195,328,000","47,095,000",,,"79,391,000",0.368,0,25.57857132,25.6771431,25.07571411,25.10000038,25.10000038,21562800,NFLX,"9,273,788,439","9,159,607,439",59.358,45.249,1.837,4.412,31.961,15.37,115.373,12/31/10
15079.917,1.133333333,9.466666667,6.770695,"553,219,000","553,219,000","344,469,000","208,750,000","139,249,000","97,141,000","15,903,000","15,903,000","81,238,000","42,108,000","-1,232,000","69,501,000","-4,092,000","853,000","4,945,000",,,,,"65,409,000","27,442,000","37,967,000","37,967,000","37,967,000","37,967,000",,"37,967,000",0.104,0.1,"364,994,000","377,517,000","69,501,000","483,718,000","37,967,000","37,967,000","853,000","4,945,000","-4,092,000","70,354,000",,"344,469,000","85,824,000","37,967,000",,,"156,178,000",0.35,0,24.54999924,24.91428566,23.12571335,23.16571426,23.16571426,72002700,NFLX,"8,474,075,389","8,453,948,389",61.424,,,4.402,44.142,15.281,54.13,9/30/10
14926.098,1.766666667,9.633333333,6.824717,"519,819,000","519,819,000","314,934,000","204,885,000","127,543,000","91,652,000","17,119,000","17,119,000","74,533,000","37,863,000","-1,972,000","77,342,000","-3,972,000","921,000","4,893,000",,,,,"73,370,000","29,851,000","43,519,000","43,519,000","43,519,000","43,519,000",,"43,519,000",0.119,0.114,"367,402,000","380,268,000","77,342,000","442,477,000","43,519,000","43,519,000","921,000","4,893,000","-3,972,000","78,263,000",,"314,934,000","74,452,000","43,519,000",,,"152,715,000",0.35,0,15.71285725,16.18428612,15.4271431,15.52142906,15.52142906,26104400,NFLX,"5,688,715,279","5,646,786,279",44.167,,,3.211,32.205,10.863,36.976,6/30/10
14721.35,2.333333333,9.833333333,6.82763967,"493,665,000","493,665,000","307,162,000","186,503,000","129,811,000","92,412,000","17,193,000","17,193,000","75,219,000","37,399,000","-1,653,000","56,692,000","-3,987,000","972,000","4,959,000","1,653,000","1,653,000",,,"54,358,000","22,086,000","32,272,000","32,272,000","32,272,000","32,272,000",,"32,272,000",0.087,0.084,"370,377,000","383,425,000","58,345,000","436,973,000","32,272,000","31,197,550","972,000","4,959,000","-3,987,000","59,317,000",,"307,162,000","73,151,000","32,272,000","1,653,000","1,653,000","130,815,000",0.35,"578,550",10.61428642,10.72285748,10.53142929,10.53428555,10.53428555,5714800,NFLX,"3,853,789,187","3,825,080,187",33.518,,,2.372,26.264,7.748,28.876,3/31/10
