TotalRevenue,	OperatingRevenue,CostOfRevenue,GrossProfit,OperatingExpense,	SellingGeneralAndAdministration,		GeneralAndAdministrativeExpense,			SalariesAndWages,			RentAndLandingFees,			OtherGandA,		SellingAndMarketingExpense,	DepreciationAmortizationDepletionIncomeStatement,		DepreciationAndAmortizationInIncomeStatement,			DepreciationIncomeStatement,	OtherOperatingExpenses,OperatingIncome,NetNonOperatingInterestIncomeExpense,	InterestIncomeNonOperating,	InterestExpenseNonOperating,OtherIncomeExpense,	SpecialIncomeCharges,		RestructuringAndMergernAcquisition,		ImpairmentOfCapitalAssets,		OtherSpecialCharges,	OtherNonOperatingIncomeExpenses,PretaxIncome,TaxProvision,NetIncomeCommonStockholders,	NetIncome,		NetIncomeIncludingNoncontrollingInterests,			NetIncomeContinuousOperations,			NetIncomeDiscontinuousOperations,			NetIncomeExtraordinary,			NetIncomeFromTaxLossCarryforward,		MinorityInterests,	PreferredStockDividends,DilutedNIAvailtoComStockholders,BasicEPS,DilutedEPS,BasicAverageShares,DilutedAverageShares,TotalOperatingIncomeAsReported,RentExpenseSupplemental,TotalExpenses,NetIncomeFromContinuingAndDiscontinuedOperation,NormalizedIncome,InterestIncome,InterestExpense,NetInterestIncome,EBIT,EBITDA,ReconciledCostOfRevenue,ReconciledDepreciation,NetIncomeFromContinuingOperationNetMinorityInterest,TotalUnusualItemsExcludingGoodwill,TotalUnusualItems,NormalizedEBITDA,TaxRateForCalcs,TaxEffectOfUnusualItems,open,high,low,close,adjclose,volume,ticker,MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio,EnterprisesValueRevenueRatio,EnterprisesValueEBITDARatio
"11,559,000,000","10,821,000,000","9,004,000,000","2,555,000,000","1,692,000,000","395,000,000",,,,,"395,000,000",,,,"1,297,000,000","863,000,000","-236,000,000","29,000,000","265,000,000","-171,000,000","-214,000,000","197,000,000",0,"17,000,000","43,000,000","456,000,000","115,000,000","341,000,000","341,000,000","341,000,000","341,000,000",,,,,,"341,000,000",0.74,0.74,"460,526,000","461,507,000","649,000,000","972,000,000","10,696,000,000","341,000,000","501,030,701.754","29,000,000","265,000,000","-236,000,000","721,000,000",,"9,004,000,000",,"341,000,000","-214,000,000","-214,000,000","935,000,000",0.252,"-53,969,298.246",,,,,,,,"19,032,845,897","38,434,845,897",13.375,6.658,0.299,0.456,,3.325,53.308
"11,643,000,000","10,935,000,000","8,752,000,000","2,891,000,000","1,746,000,000","385,000,000",,,,,"385,000,000",,,,"1,361,000,000","1,145,000,000","-236,000,000","30,000,000","266,000,000","-140,000,000","-117,000,000","143,000,000","26,000,000","-52,000,000","-23,000,000","769,000,000","203,000,000","566,000,000","566,000,000","566,000,000","566,000,000",,,,,,"566,000,000",1.22,1.22,"463,533,000","464,618,000","1,028,000,000","956,000,000","10,498,000,000","566,000,000","652,114,434.33","30,000,000","266,000,000","-236,000,000","1,035,000,000",,"8,752,000,000",,"566,000,000","-117,000,000","-117,000,000","1,152,000,000",0.264,"-30,885,565.67",,,,,,,,"17,771,074,556","37,219,074,556",10.486,7.018,0.313,0.429,,3.197,35.96
"10,401,000,000","9,707,000,000","8,158,000,000","2,243,000,000","1,671,000,000","356,000,000",,,,,"356,000,000",,,,"1,315,000,000","572,000,000","-240,000,000","25,000,000","265,000,000","-59,000,000","-141,000,000","141,000,000",,"195,000,000","82,000,000","273,000,000","87,000,000","186,000,000","186,000,000","186,000,000","186,000,000",,,,,,"186,000,000",0.39,0.39,"472,297,000","474,598,000","431,000,000","922,000,000","9,829,000,000","186,000,000","282,065,934.066","25,000,000","265,000,000","-240,000,000","538,000,000",,"8,158,000,000",,"186,000,000","-141,000,000","-141,000,000","679,000,000",0.319,"-44,934,065.934",,,,,,,,"24,584,285,968","44,583,285,968",13.323,8.621,1.243,0.605,6.186,4.286,82.869
"10,601,000,000","9,251,000,000","8,017,000,000","2,584,000,000","1,735,000,000","383,000,000",,,,,"383,000,000",,,,"1,229,000,000","849,000,000","-242,000,000","24,000,000","266,000,000","-182,000,000","-159,000,000","139,000,000",,"20,000,000","-23,000,000","425,000,000","167,000,000","258,000,000","258,000,000","258,000,000","258,000,000",,,,,,"258,000,000",0.54,0.54,"477,165,000","479,382,000","690,000,000","916,000,000","9,752,000,000","258,000,000","354,522,352.941","24,000,000","266,000,000","-242,000,000","691,000,000",,"8,017,000,000",,"258,000,000","-159,000,000","-159,000,000","850,000,000",0.393,"-62,477,647.059",,,,,,,,"24,896,306,768","43,812,306,768",13.139,9.911,,0.63,6.267,4.133,63.404
"10,878,000,000","9,577,000,000","7,914,000,000","2,964,000,000","1,620,000,000","400,000,000",,,,,"400,000,000",,,,"1,220,000,000","1,344,000,000","-241,000,000","25,000,000","266,000,000","-99,000,000","-112,000,000","124,000,000",,"-12,000,000","13,000,000","1,004,000,000","380,000,000","624,000,000","624,000,000","624,000,000","624,000,000",,,,,,"624,000,000",1.29,1.28,"484,772,000","486,625,000","1,232,000,000","943,000,000","9,534,000,000","624,000,000","693,609,561.753","25,000,000","266,000,000","-241,000,000","1,270,000,000",,"7,914,000,000",,"624,000,000","-112,000,000","-112,000,000","1,382,000,000",0.378,"-42,390,438.247",,,,,,,,"23,128,067,620","41,101,067,620",11.64,8.757,,0.591,6.136,3.778,32.363
"11,105,000,000","9,778,000,000","7,792,000,000","3,313,000,000","1,624,000,000","376,000,000",,,,,"376,000,000",,,,"1,248,000,000","1,689,000,000","-239,000,000","24,000,000","263,000,000","-159,000,000","-154,000,000","116,000,000",,"38,000,000","-5,000,000","1,291,000,000","488,000,000","803,000,000","803,000,000","803,000,000","803,000,000",,,,,,"803,000,000",1.64,1.63,"490,818,000","492,965,000","1,535,000,000","911,000,000","9,416,000,000","803,000,000","898,787,761.425","24,000,000","263,000,000","-239,000,000","1,554,000,000",,"7,792,000,000",,"803,000,000","-154,000,000","-154,000,000","1,708,000,000",0.378,"-58,212,238.575",49.91999816894531,50.5099983215332,49.599998474121094,50.31999969482422,48.8389778137207,6618700.0,AAL,"24,539,147,965","42,406,147,965",12.184,10.526,,0.661,7.098,3.819,27.288
"9,624,000,000","8,327,000,000","7,432,000,000","2,192,000,000","1,472,000,000","318,000,000",,,,,"318,000,000",,,,"1,154,000,000","720,000,000","-236,000,000","21,000,000","257,000,000","-119,000,000","-119,000,000","2,000,000",,"119,000,000",,"365,000,000","131,000,000","234,000,000","234,000,000","234,000,000","234,000,000",,,,,,"234,000,000",0.46,0.46,"503,902,000","507,797,000","601,000,000","896,000,000","8,904,000,000","234,000,000","310,290,410.959","21,000,000","257,000,000","-236,000,000","622,000,000",,"7,432,000,000",,"234,000,000","-119,000,000","-119,000,000","741,000,000",0.359,"-42,709,589.041",42.369998931884766,42.939998626708984,42.27000045776367,42.29999923706055,40.9668083190918,5427700.0,AAL,"20,970,217,216","38,955,217,216",8.794,8.599,,0.585,5.54,4.048,62.629
"9,789,000,000","8,541,000,000","7,291,000,000","2,498,000,000","1,472,000,000","333,000,000",,,,,"333,000,000",,,,"1,139,000,000","1,026,000,000","-235,000,000","18,000,000","253,000,000","-291,000,000","-259,000,000","1,000,000",,"259,000,000","-32,000,000","500,000,000","211,000,000","289,000,000","289,000,000","289,000,000","289,000,000",,,,,,"289,000,000",0.56,0.56,"514,571,000","518,358,000","767,000,000","886,000,000","8,763,000,000","289,000,000","444,400,000","18,000,000","253,000,000","-235,000,000","753,000,000",,"7,291,000,000",,"289,000,000","-259,000,000","-259,000,000","1,012,000,000",0.4,"-103,600,000",,,,,,,,"24,191,263,533","40,779,263,533",5.131,9.804,,0.685,5.394,4.166,54.156
"10,594,000,000","9,321,000,000","7,345,000,000","3,249,000,000","1,529,000,000","347,000,000",,,,,"347,000,000",,,,"1,182,000,000","1,720,000,000","-234,000,000","16,000,000","250,000,000","-297,000,000","-289,000,000","5,000,000",,"289,000,000","-8,000,000","1,189,000,000","452,000,000","737,000,000","737,000,000","737,000,000","737,000,000",,,,,,"737,000,000",1.4,1.4,"525,415,000","528,510,000","1,431,000,000","914,000,000","8,874,000,000","737,000,000","916,136,248.949","16,000,000","250,000,000","-234,000,000","1,439,000,000",,"7,345,000,000",,"737,000,000","-289,000,000","-289,000,000","1,728,000,000",0.38,"-109,863,751.051",35.97999954223633,36.9900016784668,35.86000061035156,36.61000061035156,35.288368225097656,7429300.0,AAL,"19,006,493,472","34,734,493,472",3.6,7.326,,0.571,4.408,3.279,24.138
"10,363,000,000","9,169,000,000","7,089,000,000","3,274,000,000","1,461,000,000","334,000,000",,,,,"334,000,000",,,,"1,127,000,000","1,813,000,000","-233,000,000","16,000,000","249,000,000","-87,000,000","-62,000,000","3,000,000",,"62,000,000","-25,000,000","1,493,000,000","543,000,000","950,000,000","950,000,000","950,000,000","950,000,000",,,,,,"950,000,000",1.69,1.68,"563,000,000","566,040,000","1,751,000,000","911,000,000","8,550,000,000","950,000,000","989,450,770.261","16,000,000","249,000,000","-233,000,000","1,742,000,000",,"7,089,000,000",,"950,000,000","-62,000,000","-62,000,000","1,804,000,000",0.364,"-22,549,229.739",27.860000610351562,28.309999465942383,27.489999771118164,28.309999465942383,27.206567764282227,11148300.0,AAL,"15,206,475,638","30,020,475,638",2.595,5.214,,0.461,3.229,2.897,17.233
"9,435,000,000","8,249,000,000","6,615,000,000","2,820,000,000","1,386,000,000","308,000,000",,,,,"308,000,000",,,,"1,078,000,000","1,434,000,000","-226,000,000","13,000,000","239,000,000","-91,000,000","-99,000,000","5,000,000",,"99,000,000","8,000,000","1,117,000,000","417,000,000","700,000,000","700,000,000","700,000,000","700,000,000",,,,,,"700,000,000",1.15,1.14,"606,245,000","611,488,000","1,335,000,000","865,000,000","8,001,000,000","700,000,000","761,380,000","13,000,000","239,000,000","-226,000,000","1,356,000,000",,"6,615,000,000",,"700,000,000","-99,000,000","-99,000,000","1,455,000,000",0.38,"-37,620,000",41.5,41.68000030517578,40.97999954223633,41.0099983215332,39.29795837402344,8138000.0,AAL,"24,017,848,072","38,324,848,072",3.705,6.325,,0.688,4.262,4.062,28.263
"9,630,000,000","8,496,000,000","6,682,000,000","2,948,000,000","1,439,000,000","343,000,000",,,,,"343,000,000",,,,"1,096,000,000","1,509,000,000","-219,000,000","10,000,000","229,000,000","-1,045,000,000","-441,000,000","9,000,000",,"441,000,000","-604,000,000","245,000,000","-3,036,000,000","3,281,000,000","3,281,000,000","3,281,000,000","3,281,000,000",,,,,,"3,281,000,000",5.24,5.09,"626,559,000","644,140,000","1,068,000,000","854,000,000","8,121,000,000","3,281,000,000","3,545,600,000","10,000,000","229,000,000","-219,000,000","474,000,000",,"6,682,000,000",,"3,281,000,000","-441,000,000","-441,000,000","915,000,000",0.4,"-176,400,000",42.540000915527344,42.56999969482422,41.83000183105469,42.349998474121094,40.471588134765625,6813800.0,AAL,"26,452,757,835","38,140,757,835",6.05,7.003,,0.722,7.032,3.961,80.466
"10,706,000,000","9,533,000,000","7,047,000,000","3,659,000,000","1,497,000,000","366,000,000",,,,,"366,000,000",,,,"1,131,000,000","2,162,000,000","-209,000,000","10,000,000","219,000,000","-244,000,000","-163,000,000","2,000,000",,"163,000,000","-81,000,000","1,709,000,000","16,000,000","1,693,000,000","1,693,000,000","1,693,000,000","1,693,000,000",,,,,,"1,693,000,000",2.56,2.49,"661,869,000","680,739,000","1,999,000,000","874,000,000","8,544,000,000","1,693,000,000","1,854,473,961.381","10,000,000","219,000,000","-209,000,000","1,928,000,000",,"7,047,000,000",,"1,693,000,000","-163,000,000","-163,000,000","2,091,000,000",0.009,"-1,526,038.619",39.18000030517578,39.68000030517578,37.720001220703125,38.83000183105469,37.027862548828125,15823700.0,AAL,"24,855,375,894","34,730,375,894",6.683,,,0.667,6.836,3.244,18.014
"10,827,000,000","9,608,000,000","7,304,000,000","3,523,000,000","1,458,000,000","350,000,000",,,,,"350,000,000",,,,"1,108,000,000","2,065,000,000","-213,000,000","10,000,000","223,000,000","-133,000,000","-144,000,000","10,000,000",,"144,000,000","11,000,000","1,719,000,000","15,000,000","1,704,000,000","1,704,000,000","1,704,000,000","1,704,000,000",,,,,,"1,704,000,000",2.47,2.41,"688,727,000","707,611,000","1,921,000,000","897,000,000","8,762,000,000","1,704,000,000","1,846,743,455.497","10,000,000","223,000,000","-213,000,000","1,942,000,000",,"7,304,000,000",,"1,704,000,000","-144,000,000","-144,000,000","2,086,000,000",0.009,"-1,256,544.503",40.20000076293945,40.599998474121094,39.93000030517578,39.939998626708984,37.99769592285156,11184500.0,AAL,"27,087,470,536","36,836,470,536",8.719,,,0.684,9.8,3.402,18.968
"9,827,000,000","8,635,000,000","6,934,000,000","2,893,000,000","1,374,000,000","336,000,000",,,,,"336,000,000",,,,"1,038,000,000","1,519,000,000","-200,000,000","10,000,000","210,000,000","-376,000,000","-303,000,000","7,000,000",,"303,000,000","-73,000,000","943,000,000","11,000,000","932,000,000","932,000,000","932,000,000","932,000,000",,,,,,"932,000,000",1.34,1.3,"696,415,000","716,930,000","1,216,000,000","840,000,000","8,308,000,000","932,000,000","1,231,465,535.525","10,000,000","210,000,000","-200,000,000","1,153,000,000",,"6,934,000,000",,"932,000,000","-303,000,000","-303,000,000","1,456,000,000",0.012,"-3,534,464.475",53.65999984741211,53.72999954223633,52.68000030517578,52.779998779296875,50.110557556152344,8386400.0,AAL,"36,618,798,359","47,219,798,359",13.43,,,0.908,18.119,4.805,40.954
"10,160,000,000","9,013,000,000","7,509,000,000","2,651,000,000","1,326,000,000","348,000,000",,,,,"348,000,000",,,,"978,000,000","1,325,000,000","-211,000,000","9,000,000","220,000,000","-547,000,000","-465,000,000","800,000,000",,"466,000,000","-82,000,000","567,000,000","-30,000,000","597,000,000","597,000,000","597,000,000","597,000,000",,,,,,"597,000,000",0.84,0.82,"706,185,000","724,767,000","860,000,000","860,000,000","8,835,000,000","597,000,000","899,250,000","9,000,000","220,000,000","-211,000,000","787,000,000",,"7,509,000,000",,"597,000,000","-465,000,000","-465,000,000","1,252,000,000",0.35,"-162,750,000",53.900001525878906,54.63999938964844,53.31999969482422,53.630001068115234,50.81461715698242,10626000.0,AAL,"37,405,559,312","46,596,559,312",,,,0.695,7.525,4.586,59.208
"11,139,000,000","9,973,000,000","8,234,000,000","2,905,000,000","1,424,000,000","393,000,000",,,,,"393,000,000",,,,"1,031,000,000","1,481,000,000","-203,000,000","7,000,000","210,000,000","-329,000,000","-221,000,000",0,,"221,000,000","-108,000,000","949,000,000","7,000,000","942,000,000","942,000,000","942,000,000","942,000,000",,,,,,"942,000,000",1.31,1.28,"719,067,000","735,196,000","1,260,000,000","855,000,000","9,658,000,000","942,000,000","1,161,369,863.014","7,000,000","210,000,000","-203,000,000","1,159,000,000",,"8,234,000,000",,"942,000,000","-221,000,000","-221,000,000","1,380,000,000",0.007,"-1,630,136.986",35.04999923706055,35.849998474121094,34.34000015258789,35.47999954223633,33.53325653076172,10657900.0,AAL,"25,448,298,477","32,717,298,477",,,,0.407,6.228,2.937,28.229
"11,355,000,000","10,141,000,000","8,236,000,000","3,119,000,000","1,469,000,000","402,000,000",,,,,"402,000,000",,,,"1,067,000,000","1,650,000,000","-206,000,000","8,000,000","214,000,000","-240,000,000","-251,000,000",0,,"251,000,000","11,000,000","1,204,000,000","340,000,000","864,000,000","864,000,000","864,000,000","864,000,000",,,,,,"864,000,000",1.2,1.17,"720,600,000","734,767,000","1,399,000,000","867,000,000","9,705,000,000","864,000,000","1,044,119,601.329","8,000,000","214,000,000","-206,000,000","1,418,000,000",,"8,236,000,000",,"864,000,000","-251,000,000","-251,000,000","1,669,000,000",0.282,"-70,880,398.671",44.040000915527344,44.08000183105469,42.83000183105469,42.959999084472656,40.50016403198242,10439600.0,AAL,"30,952,750,841","37,973,750,841",,,,0.401,28.267,3.344,26.78
"9,995,000,000","8,871,000,000","7,960,000,000","2,035,000,000","1,442,000,000","401,000,000",,,,,"401,000,000",,,,"1,041,000,000","593,000,000","-236,000,000","7,000,000","243,000,000","136,000,000","137,000,000",0,,"-137,000,000","-1,000,000","493,000,000","13,000,000","480,000,000","480,000,000","480,000,000","480,000,000",,,,,,"480,000,000",0.66,0.65,"723,971,000","741,335,000","730,000,000","744,000,000","9,402,000,000","480,000,000","346,612,576.065","7,000,000","243,000,000","-236,000,000","736,000,000",,"7,960,000,000",,"480,000,000","137,000,000","137,000,000","599,000,000",0.026,"3,612,576.065",35.84000015258789,36.869998931884766,35.75,36.599998474121094,34.504337310791016,8415300.0,AAL,"23,788,289,791","31,336,289,791",,9.634,,0.223,,3.135,42.576
"7,368,000,000","6,597,000,000","5,773,000,000","1,595,000,000","931,000,000","301,000,000",,,,,"301,000,000",,,,"-227,000,000","664,000,000","-248,000,000","6,000,000","254,000,000","-2,741,000,000","-2,723,000,000","2,746,000,000",,"461,000,000","-18,000,000","-2,325,000,000","-324,000,000","-2,001,000,000","-2,001,000,000","-2,001,000,000","-2,001,000,000",,,,,,"-2,001,000,000",-8.66,-8.66,"231,062,000","231,062,000","161,000,000","603,000,000","6,704,000,000","-2,001,000,000","342,536,774.194","6,000,000","254,000,000","-248,000,000","-2,071,000,000",,"5,773,000,000",,"-2,001,000,000","-2,723,000,000","-2,723,000,000","652,000,000",0.139,"-379,463,225.806",24.739999771118164,25.25,24.6299991607666,25.25,23.80422019958496,7166600.0,AAL,"6,591,992,250","10,395,992,250",7.426,8.306,,0.139,,1.411,-5.02
