MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio,date,open,high,low,close,adjclose,volume,ticker
"137,381,028,271","159,301,028,271",21.778,19.194,2.858,2.177,8.433,2015-09-30,94.05999755859375,94.4000015258789,93.52999877929688,94.30000305175781,79.60314178466797,5873600.0,PEP
"136,513,532,314","158,433,532,314",21.462,18.904,3.076,2.145,8.38,2015-08-31,92.94000244140625,93.33000183105469,92.63999938964844,92.93000030517578,77.84284210205078,5328000.0,PEP
"141,537,488,846","163,457,488,846",22.252,19.57,3.189,2.224,8.688,2015-07-31,97.16999816894531,97.16999816894531,96.19999694824219,96.3499984741211,80.70759582519531,5049600.0,PEP
"137,396,480,000","159,307,480,000",21.758,19.011,3.114,2.137,8.681,2015-06-30,94.51000213623047,94.69999694824219,93.26000213623047,93.33999633789062,78.18628692626953,4188500.0,PEP
"142,335,584,719","164,246,584,719",,,,,,2015-05-29,97.20999908447266,97.23999786376953,95.94000244140625,96.43000030517578,80.18340301513672,5731700.0,PEP
"140,401,958,088","162,312,958,088",22.172,19.342,2.84,2.178,8.87,2015-04-30,94.16000366210938,95.33000183105469,93.76000213623047,95.12000274658203,79.09413146972656,6714400.0,PEP
"141,421,980,000","161,633,980,000",22.393,18.868,2.646,2.19,8.129,2015-03-31,96.22000122070312,96.58999633789062,95.62000274658203,95.62000274658203,79.50987243652344,4397600.0,PEP
"146,723,588,367","166,935,588,367",,,,,,2015-02-27,99.22000122070312,99.37000274658203,98.97000122070312,98.9800033569336,81.75593566894531,6461700.0,PEP
"139,544,640,000","159,421,640,000",,,,,,2015-01-30,95.11000061035156,95.33000183105469,93.55999755859375,93.77999877929688,77.4607925415039,7741500.0,PEP
"140,705,280,000","160,582,280,000",20.92,19.121,2.51,2.173,6.11,2014-12-31,95.66999816894531,95.9800033569336,94.54000091552734,94.55999755859375,78.1050796508789,3727400.0,PEP
"149,810,262,602","169,687,262,602",,,,,,2014-11-28,99.72000122070312,100.69999694824219,99.5199966430664,100.0999984741211,82.14156341552734,2504300.0,PEP
"143,928,600,943","163,805,600,943",21.277,19.38,2.547,2.21,6.25,2014-10-31,96.41000366210938,96.73999786376953,95.58000183105469,96.16999816894531,78.91664123535156,5259300.0,PEP
"139,914,270,000","161,504,270,000",21.014,18.832,2.448,2.162,5.972,2014-09-30,92.94999694824219,93.43000030517578,92.91999816894531,93.08999633789062,76.38921356201172,4219300.0,PEP
"139,362,936,807","160,952,936,807",,,,,,2014-08-29,92.7300033569336,92.91000366210938,92.01000213623047,92.48999786376953,75.35928344726562,3657700.0,PEP
"132,748,132,044","154,338,132,044",19.887,17.953,2.528,2.046,5.666,2014-07-31,88.23999786376953,88.91000366210938,88.06999969482422,88.0999984741211,71.78238677978516,4825900.0,PEP
"134,992,740,000","157,019,740,000",20.213,17.606,2.48,2.089,5.938,2014-06-30,88.45999908447266,89.5,88.3499984741211,89.33999633789062,72.79270935058594,4473400.0,PEP
"133,912,911,406","155,939,911,406",,,,,,2014-05-30,87.61000061035156,88.4800033569336,87.41000366210938,88.33000183105469,71.43545532226562,5181600.0,PEP
"130,213,743,470","152,240,743,470",19.432,17.007,2.085,2.009,5.728,2014-04-30,85.7300033569336,86.06999969482422,85.43000030517578,85.88999938964844,69.46212005615234,4387500.0,PEP
"126,836,500,000","146,838,500,000",19.329,16.502,2.063,1.961,5.233,2014-03-31,83.73999786376953,83.80000305175781,83.16999816894531,83.5,67.52925109863281,6620900.0,PEP
"122,998,900,909","143,000,900,909",18.535,15.601,1.951,1.881,5.075,2014-02-28,79.08999633789062,80.4000015258789,78.8499984741211,80.06999969482422,64.3003921508789,9870600.0,PEP
"122,870,440,000","142,901,440,000",18.864,15.552,1.862,1.896,5.524,2014-01-31,80.19999694824219,80.81999969482422,79.9000015258789,80.36000061035156,64.53326416015625,6728600.0,PEP
"126,815,260,000","146,846,260,000",19.469,16.835,1.968,1.957,5.701,2013-12-31,82.9800033569336,83.33000183105469,82.54000091552734,82.94000244140625,66.60514068603516,3009500.0,PEP
"129,527,815,965","149,558,815,965",,,,,,2013-11-29,84.62000274658203,84.87999725341797,84.19999694824219,84.45999908447266,67.36605072021484,2698100.0,PEP
"128,960,384,141","148,991,384,141",19.739,17.065,1.986,1.984,5.797,2013-10-31,84.6500015258789,84.9000015258789,84.08999633789062,84.08999633789062,67.0709457397461,4572200.0,PEP
"122,191,500,000","143,603,500,000",18.75,16.077,2.035,1.886,5.402,2013-09-30,79.86000061035156,79.91999816894531,79.25,79.5,63.4099006652832,5231400.0,PEP
"122,960,754,191","144,372,754,191",,,,,,2013-08-30,79.41999816894531,79.83999633789062,79.2300033569336,79.7300033569336,63.142974853515625,4362700.0,PEP
"128,836,591,059","150,248,591,059",19.703,16.863,2.135,1.982,5.696,2013-07-31,85.29000091552734,85.66000366210938,83.43000030517578,83.54000091552734,66.16032409667969,8016500.0,PEP
"126,529,130,000","148,959,130,000",,,,,,2013-06-28,81.97000122070312,82.2699966430664,81.5999984741211,81.79000091552734,64.7743911743164,5996000.0,PEP
"124,904,046,004","147,334,046,004",20.71,16.556,2.198,1.931,5.599,2013-05-31,81.0199966430664,81.61000061035156,80.72000122070312,80.7699966430664,63.5214958190918,7813300.0,PEP
"127,532,953,745","149,962,953,745",21.146,16.921,2.228,1.972,5.716,2013-04-30,82.41000366210938,82.63999938964844,82.0199966430664,82.47000122070312,64.85848236083984,4116100.0,PEP
"122,224,950,000","144,005,950,000",,,,,,2013-03-29,,,,,,,
"116,896,646,997","138,677,646,997",19.329,15.408,2.115,1.822,5.253,2013-02-28,75.44000244140625,75.94999694824219,75.44000244140625,75.7699966430664,59.589271545410156,6007400.0,PEP
"112,480,400,000","134,261,400,000",18.584,14.409,2.559,1.752,5.055,2013-01-31,73.36000061035156,73.37000274658203,72.68000030517578,72.8499984741211,56.88597869873047,5677900.0,PEP
"105,655,920,000","127,436,920,000",17.457,15.06,2.676,1.646,4.748,2012-12-31,67.77999877929688,68.44999694824219,67.38999938964844,68.43000030517578,53.43456268310547,5899600.0,PEP
"108,604,584,375","130,877,584,375",18.723,15.528,2.758,1.688,5.075,2012-11-30,70.30999755859375,70.3499984741211,69.73999786376953,70.20999908447266,54.403072357177734,6664600.0,PEP
"107,104,136,478","129,377,136,478",18.464,15.038,3.298,1.665,5.005,2012-10-31,69.16999816894531,69.68000030517578,68.97000122070312,69.23999786376953,53.6514778137207,5490500.0,PEP
"109,764,270,000","133,944,270,000",,,,,,2012-09-28,70.62000274658203,70.80000305175781,70.3499984741211,70.7699966430664,54.83700180053711,5021800.0,PEP
"112,720,973,334","136,900,973,334",19.111,15.625,3.256,1.724,5.521,2012-08-31,72.44000244140625,72.76000213623047,72.19000244140625,72.43000030517578,55.7066764831543,5234100.0,PEP
"113,187,855,730","137,367,855,730",19.19,15.48,3.225,1.731,5.544,2012-07-31,72.30999755859375,72.8499984741211,72.25,72.7300033569336,55.93743896484375,6838800.0,PEP
"110,088,280,000","134,026,280,000",,,,,,2012-06-29,69.95999908447266,70.66000366210938,69.80999755859375,70.66000366210938,54.345359802246094,8886700.0,PEP
"106,115,012,154","130,053,012,154",16.836,15.291,2.788,1.612,4.695,2012-05-31,68.13999938964844,68.58999633789062,67.66999816894531,67.8499984741211,52.18415832519531,10839300.0,PEP
"103,221,677,262","127,159,677,262",16.377,14.793,2.51,1.568,4.567,2012-04-30,65.97000122070312,66.25,65.7699966430664,66.0,50.367393493652344,5367500.0,PEP
"103,970,450,000","126,359,450,000",,,,,,2012-03-30,66.27999877929688,66.5,66.04000091552734,66.3499984741211,50.63447952270508,5949300.0,PEP
"98,856,190,486","121,245,190,486",15.618,13.967,2.055,1.511,4.811,2012-02-29,62.900001525878906,63.130001068115234,62.810001373291016,62.939998626708984,48.03217697143555,7013800.0,PEP
"102,707,880,000","125,096,880,000",16.295,14.409,1.906,1.577,4.999,2012-01-31,65.5,65.69000244140625,65.27999877929688,65.66999816894531,49.70795440673828,5834300.0,PEP
"103,732,268,362","127,089,268,362",,,,,,2011-12-30,66.41999816894531,66.69000244140625,66.23999786376953,66.3499984741211,50.22267150878906,2632900.0,PEP
"100,058,254,336","123,415,254,336",16.04,13.812,1.737,1.59,4.251,2011-11-30,64.38999938964844,64.61000061035156,63.66999816894531,64.0,48.44386291503906,10022600.0,PEP
"98,416,673,600","121,773,673,600",15.777,13.495,1.8,1.564,4.182,2011-10-31,62.59000015258789,63.58000183105469,62.59000015258789,62.95000076293945,47.26362609863281,9351500.0,PEP
"97,059,200,000","120,416,200,000",15.514,12.854,1.714,1.538,4.124,2011-09-30,62.369998931884766,62.9900016784668,61.849998474121094,61.900001525878906,46.47526168823242,7405600.0,PEP
