TotalRevenue,	OperatingRevenue,CostOfRevenue,GrossProfit,OperatingExpense,	SellingGeneralAndAdministration,		GeneralAndAdministrativeExpense,			OtherGandA,		SellingAndMarketingExpense,	ResearchAndDevelopment,	OtherOperatingExpenses,OperatingIncome,NetNonOperatingInterestIncomeExpense,	InterestIncomeNonOperating,	InterestExpenseNonOperating,OtherIncomeExpense,	SpecialIncomeCharges,		OtherSpecialCharges,	OtherNonOperatingIncomeExpenses,PretaxIncome,TaxProvision,NetIncomeCommonStockholders,	NetIncome,		NetIncomeIncludingNoncontrollingInterests,			NetIncomeContinuousOperations,AverageDilutionEarnings,DilutedNIAvailtoComStockholders,BasicEPS,DilutedEPS,BasicAverageShares,DilutedAverageShares,TotalOperatingIncomeAsReported,TotalExpenses,NetIncomeFromContinuingAndDiscontinuedOperation,NormalizedIncome,InterestIncome,InterestExpense,NetInterestIncome,EBIT,EBITDA,ReconciledCostOfRevenue,ReconciledDepreciation,NetIncomeFromContinuingOperationNetMinorityInterest,TotalUnusualItemsExcludingGoodwill,TotalUnusualItems,NormalizedEBITDA,TaxRateForCalcs,TaxEffectOfUnusualItems,open,high,low,close,adjclose,volume,ticker,MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio,EnterprisesValueRevenueRatio,EnterprisesValueEBITDARatio
"3,999,374,000","3,999,374,000","2,412,346,000","1,587,028,000","1,106,360,000","1,106,360,000","671,091,000","671,091,000","435,269,000","327,026,000",,"480,668,000","-101,858,000","7,004,000","108,862,000",,,,,"378,810,000","-24,025,000","402,835,000","402,835,000","402,835,000","402,835,000",,"402,835,000",0.92,0.89,"435,809,000","451,919,000","480,668,000","3,518,706,000","402,835,000","402,835,000","7,004,000","108,862,000","-101,858,000","487,672,000",,"2,412,346,000","1,942,887,000","402,835,000",,,"2,430,559,000",0.06,0,,,,,,,,"162,917,716,345","167,353,426,345",170.059,85.47,2.034,12.113,36.284,41.845,68.854
"3,907,270,000","3,907,270,000","2,289,867,000","1,617,403,000","1,155,190,000","1,155,190,000","628,410,000","628,410,000","526,780,000","317,213,000",,"462,213,000","-33,577,000","68,028,000","101,605,000",,,,,"428,636,000","44,287,000","384,349,000","384,349,000","384,349,000","384,349,000",,"384,349,000",0.88,0.85,"435,097,000","451,552,000","462,213,000","3,445,057,000","384,349,000","384,349,000","68,028,000","101,605,000","-33,577,000","530,241,000",,"2,289,867,000","1,848,707,000","384,349,000",,,"2,378,948,000",0.1,0,,,,,,,,"170,151,708,369","174,100,415,369",262.705,135.135,3.773,13.748,42.393,44.558,73.184
"3,700,856,000","3,700,856,000","2,196,075,000","1,504,781,000","1,058,203,000","1,058,203,000","578,981,000","578,981,000","479,222,000","300,730,000",,"446,578,000","-146,962,000","-65,743,000","146,962,000",,,,,"299,616,000","9,492,000","290,124,000","290,124,000","290,124,000","290,124,000",,"290,124,000",0.67,0.64,"434,174,000","450,359,000","446,578,000","3,254,278,000","290,124,000","290,124,000","-65,743,000","146,962,000","-146,962,000","446,578,000",,"2,196,075,000","1,779,019,000","290,124,000",,,"2,225,597,000",0.03,0,,,,,,,,"128,166,677,956","131,843,314,956",236.28,109.89,3.193,11.286,35.84,35.625,59.24
"3,285,755,000","3,285,755,000","2,107,354,000","1,178,401,000","933,098,000","933,098,000","513,159,000","513,159,000","419,939,000","273,351,000",,"245,303,000","-113,973,000","-38,681,000","113,973,000",,,,,"131,330,000","-54,187,000","185,517,000","185,517,000","185,517,000","185,517,000",,"185,517,000",0.43,0.41,"433,108,000","448,142,000","245,303,000","3,040,452,000","185,517,000","185,517,000","-38,681,000","113,973,000","-113,973,000","245,303,000",,"2,107,354,000","1,745,225,000","185,517,000",,,"1,990,528,000",0.4,0,,,,,,,,"83,067,067,714","86,209,381,714",191.96,87.719,1.496,7.844,25.003,26.237,43.31
"2,984,859,000","2,984,859,000","1,992,980,000","991,879,000","783,252,000","783,252,000","470,762,000","470,762,000","312,490,000","255,236,000",,"208,627,000","-92,390,000","-31,702,000","92,390,000",,,,,"116,237,000","-13,353,000","129,590,000","129,590,000","129,590,000","129,590,000",,"129,590,000",0.3,0.29,"432,404,000","447,362,000","208,627,000","2,776,232,000","129,590,000","129,590,000","-31,702,000","92,390,000","-92,390,000","208,627,000",,"1,992,980,000","1,659,974,000","129,590,000",,,"1,868,601,000",0.11,0,,,,,,,,"78,297,816,074","80,969,416,074",221.159,104.167,2.19,7.876,25.213,27.127,43.332
"2,785,464,000","2,785,464,000","1,902,308,000","883,156,000","755,349,000","755,349,000","481,026,000","481,026,000","274,323,000","267,083,000",,"127,807,000","-113,845,000","-58,363,000","113,845,000",,,,,"13,962,000","-51,638,000","65,600,000","65,600,000","65,600,000","65,600,000",,"65,600,000",0.15,0.15,"431,396,000","446,262,000","127,807,000","2,657,657,000","65,600,000","65,600,000","-58,363,000","113,845,000","-113,845,000","127,807,000",,"1,902,308,000","1,585,856,000","65,600,000",,,"1,713,663,000",0.4,0,149.75999450683594,150.7100067138672,148.4199981689453,149.41000366210938,149.41000366210938,5213300.0,NFLX,"64,507,729,251","66,531,931,251",194.039,142.857,2.911,6.921,21.693,23.885,38.824
"2,636,635,000","2,636,635,000","1,657,024,000","979,611,000","722,669,000","722,669,000","451,399,000","451,399,000","271,270,000","257,108,000",,"256,942,000","-33,150,000","13,592,000","46,742,000",,,,,"223,792,000","45,570,000","178,222,000","178,222,000","178,222,000","178,222,000",,"178,222,000",0.41,0.4,"430,600,000","445,458,000","256,942,000","2,379,693,000","178,222,000","178,222,000","13,592,000","46,742,000","-33,150,000","270,534,000",,"1,657,024,000","1,339,330,000","178,222,000",,,"1,609,864,000",0.2,0,148.0,148.22999572753906,147.3300018310547,147.80999755859375,147.80999755859375,3888200.0,NFLX,"63,705,138,740","65,335,667,740",343.744,140.845,2.509,7.342,23.772,24.78,40.585
"2,477,541,000","2,477,541,000","1,654,419,000","823,122,000","669,188,000","669,188,000","384,192,000","384,192,000","284,996,000","225,191,000",,"153,934,000","-63,665,000","-20,079,000","43,586,000",,,,,"90,269,000","23,521,000","66,748,000","66,748,000","66,748,000","66,748,000",,"66,748,000",0.16,0.15,"429,738,000","440,063,000","153,934,000","2,323,607,000","66,748,000","66,748,000","-20,079,000","43,586,000","-63,665,000","133,855,000",,"1,654,419,000","1,363,903,000","66,748,000",,,"1,497,758,000",0.261,0,,,,,,,,"53,128,153,847","54,158,863,847",334.595,153.846,2.547,6.635,21.052,21.86,36.16
"2,290,188,000","2,290,188,000","1,532,844,000","757,344,000","651,308,000","651,308,000","369,265,000","369,265,000","282,043,000","216,099,000",,"106,036,000","-26,909,000","8,627,000","35,536,000",,,,,"79,127,000","27,610,000","51,517,000","51,517,000","51,517,000","51,517,000",,"51,517,000",0.12,0.12,"428,937,000","438,389,000","106,036,000","2,184,152,000","51,517,000","51,517,000","8,627,000","35,536,000","-26,909,000","114,663,000",,"1,532,844,000","1,257,802,000","51,517,000",,,"1,372,465,000",0.35,0,96.9000015258789,99.52999877929688,96.79000091552734,98.55000305175781,98.55000305175781,9807900.0,NFLX,"42,292,242,016","42,831,099,016",307.969,125,2.088,5.661,17.506,18.702,31.207
"2,105,204,000","2,105,204,000","1,473,098,000","632,106,000","561,736,000","561,736,000","345,707,000","345,707,000","216,029,000","207,300,000",,"70,370,000","-19,138,000","16,317,000","35,455,000",,,,,"51,232,000","10,477,000","40,755,000","40,755,000","40,755,000","40,755,000",,"40,755,000",0.1,0.09,"428,483,000","438,154,000","70,370,000","2,034,834,000","40,755,000","40,755,000","16,317,000","35,455,000","-19,138,000","86,687,000",,"1,473,098,000","1,209,513,000","40,755,000",,,"1,296,200,000",0.2,0,90.91000366210938,91.72000122070312,89.9000015258789,91.4800033569336,91.4800033569336,9099000.0,NFLX,"39,219,798,494","39,519,545,494",315.448,344.828,5.334,5.587,16.925,18.772,30.489
