MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio,open,high,low,close,adjclose,volume,ticker
"184,651,724,094","194,169,341,094",84.99,66.667,2.789,8.865,21.958,410.30999755859375,424.44000244140625,408.0,419.8500061035156,419.8500061035156,7954000.0,NFLX
"165,137,622,059","174,878,445,059",90.92,62.5,2.754,8.416,21.78,367.92999267578125,383.010009765625,366.44000244140625,375.5,375.5,9366500.0,NFLX
"161,932,817,680","171,673,640,680",,,,,,364.2099914550781,376.7699890136719,356.79998779296875,369.0299987792969,369.0299987792969,11168600.0,NFLX
"151,427,786,503","161,168,609,503",83.557,57.471,2.531,7.734,19.972,347.3900146484375,347.3900146484375,340.9800109863281,345.0899963378906,345.0899963378906,5230000.0,NFLX
"141,984,667,416","149,975,395,416",103.708,61.728,2.234,7.743,20.693,322.0,324.9200134277344,321.0899963378906,323.57000732421875,323.57000732421875,3713300.0,NFLX
"137,900,150,596","145,890,878,596",,,,,,315.7799987792969,316.6199951171875,313.3399963378906,314.6600036621094,314.6600036621094,2411700.0,NFLX
"125,957,802,971","133,948,530,971",92.119,52.356,1.891,6.878,18.357,291.0,291.45001220703125,284.7799987792969,287.4100036621094,287.4100036621094,5090000.0,NFLX
"117,284,809,962","124,874,697,962",105.362,48.781,1.761,6.858,19.21,264.0,268.8800048828125,262.7799987792969,267.6199951171875,267.6199951171875,6727200.0,NFLX
"128,613,996,587","136,203,884,587",,,,,,298.7799987792969,298.94000244140625,290.8500061035156,293.75,293.75,4446400.0,NFLX
"141,416,288,537","149,006,176,537",127.161,97.087,3.499,8.277,23.162,325.1600036621094,331.7699890136719,318.5299987792969,322.989990234375,322.989990234375,6259500.0,NFLX
"160,599,633,135","167,556,099,135",,,,,,370.260009765625,371.5400085449219,364.8699951171875,367.32000732421875,367.32000732421875,4592700.0,NFLX
"150,088,865,465","157,045,331,465",122.6,101.01,3.616,9.331,26.317,347.2200012207031,349.3399963378906,342.9200134277344,343.2799987792969,343.2799987792969,5023400.0,NFLX
"162,007,481,384","168,963,947,384",132.336,108.696,3.903,10.072,28.407,369.55999755859375,374.5,368.3500061035156,370.5400085449219,370.5400085449219,3870100.0,NFLX
"155,673,595,746","162,239,170,746",,,,,,357.1600036621094,358.25,353.7099914550781,356.55999755859375,356.55999755859375,4705600.0,NFLX
